發生時間,發生地點,死亡受傷人數,車種,經度,緯度
110年01月01日 04時49分00秒,屏東縣萬巒鄉鹿寮村三多路1-8號前0.0公尺附近,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.560111,22.567105
110年01月01日 04時57分00秒,臺中市霧峰區西柳橋頭,死亡1;受傷0,營業用-半聯結車;普通重型-機車,120.680001,24.070698
110年01月01日 07時30分00秒,南投縣仁愛鄉台8線 111公里100.0公尺處北側向外側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.303376,24.191833
110年01月01日 09時00分00秒,臺中市梧棲區福德里港埠路二段 / 臺中市梧棲區福德里中興路,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.536745,24.252353
110年01月01日 13時32分00秒,新北市新莊區新北市新莊區中正路1號與中正路,死亡1;受傷1,自用-小客車;大型重型2(250-550C.C.)-機車;乘客-人,121.465555,25.041909
110年01月01日 15時40分00秒,雲林縣大埤鄉157線330464號燈處,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.416580,23.634047
110年01月01日 16時04分00秒,臺南市玉井區台20線 28公里800.0公尺處西側向外側,死亡2;受傷2,自用-小客車;乘客-人;乘客-人;乘客-人,120.423783,23.071161
110年01月01日 19時43分00秒,苗栗縣南庄鄉台三線98.8公里處,死亡1;受傷0,行人-人;營業用-小貨車(含客、貨兩用),120.957925,24.600989
110年01月02日 09時42分00秒,臺中市龍井區竹坑里中華路1段前0.0公尺,死亡1;受傷0,普通重型-機車;民營公車-大客車,120.543028,24.171578
110年01月02日 09時58分00秒,嘉義縣布袋鎮東港里172線與村里道路路口,死亡1;受傷0,普通重型-機車;自用-大貨車,120.186905,23.373336
110年01月02日 20時58分30秒,宜蘭縣冬山鄉鹿埔路東側 / 宜蘭縣冬山鄉鹿梅路東側,死亡1;受傷0,普通重型-機車,121.745872,24.656693
110年01月02日 21時28分00秒,宜蘭縣三星鄉上將路2段190號附近,死亡1;受傷0,自用-小客車;行人-人,121.733743,24.696659
110年01月03日 04時27分15秒,南投縣埔里鎮中正路129-10號,死亡1;受傷2,自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車,120.978169,23.946037
110年01月03日 23時13分00秒,新北市五股區新北市五股區中興路3段與新五路2段,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,121.441968,25.081495
110年01月04日 10時00分00秒,桃園市龍潭區龍新路三和段1689巷1號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,121.162304,24.845509
110年01月04日 11時38分00秒,新北市淡水區新北市淡水區中正東路1段105巷與中正東路1段,死亡1;受傷0,自用-小客車;普通重型-機車,121.453435,25.161918
110年01月04日 11時44分00秒,臺中市大里區永隆里東榮路 / 臺中市大里區永隆里永隆路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.676629,24.109353
110年01月04日 15時22分32秒,屏東縣竹田鄉龍門路242號前0.0公尺附近,死亡1;受傷0,普通重型-機車,120.523701,22.625022
110年01月04日 21時04分00秒,臺北市士林區大東路90-2號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,121.525558,25.091478
110年01月04日 23時27分00秒,彰化縣花壇鄉崙雅村花秀路 / 彰化縣花壇鄉崙雅村花秀路,死亡1;受傷0,普通重型-機車,120.525469,24.032475
110年01月05日 00時13分00秒,宜蘭縣五結鄉噶瑪蘭橋018號路燈附近,死亡1;受傷1,租賃車-小客車;營業用-曳引車,121.820238,24.712110
110年01月05日 05時17分00秒,新北市板橋區新北市板橋區篤行路3段與玉平巷76弄,死亡1;受傷1,行人-人;普通重型-機車,121.427843,24.985126
110年01月05日 06時42分58秒,臺南市善化區南科七路與三抱竹路路口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.268809,23.107662
110年01月05日 07時25分00秒,臺東縣卑南鄉太平路口 / 臺東縣卑南鄉太平路口,死亡1;受傷1,普通重型-機車;行人-人,121.081728,22.786144
110年01月05日 11時10分00秒,嘉義縣溪口鄉游東村游厝庄嘉176線0.5公里處(電桿興安19南10A),死亡1;受傷0,自用-大貨車;普通重型-機車,120.396445,23.624008
110年01月05日 15時20分00秒,高雄市彌陀區樂安路 / 高雄市彌陀區樂安路廟巷段,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,120.243525,22.767126
110年01月06日 02時10分00秒,桃園市八德區福德一路附近 / 桃園市八德區和成路附近,死亡1;受傷0,行人-人;營業用-小貨車(含客、貨兩用),121.322960,24.960730
110年01月06日 02時32分00秒,苗栗縣通霄鎮台1線 124公里500.0公尺處南側,死亡1;受傷1,普通重型-機車;乘客-人,120.710727,24.565747
110年01月06日 12時47分00秒,宜蘭縣羅東鎮仁愛路3段口 / 宜蘭縣羅東鎮復興路3段口,死亡1;受傷0,自用-小客車;普通重型-機車,121.762810,24.699133
110年01月06日 16時51分00秒,臺中市梧棲區橋柱P353前,死亡1;受傷1,普通重型-機車;自用-小客車,120.526622,24.227253
110年01月06日 17時35分00秒,臺中市沙鹿區沙鹿交流道機車道(匝道旁),死亡1;受傷1,普通重型-機車;乘客-人,120.592521,24.250328
110年01月06日 19時14分00秒,臺中市北屯區陳平里中平路 / 臺中市北屯區陳平里敦化路二段,死亡1;受傷1,普通重型-機車;普通重型-機車,120.663479,24.185442
110年01月06日 21時50分00秒,屏東縣竹田鄉光明路4之5號,死亡1;受傷0,普通重型-機車,120.529530,22.620011
110年01月07日 00時44分00秒,臺北市中山區復興北路 / 臺北市中山區民生東路3段,死亡1;受傷0,自用-小客車;行人-人,121.544018,25.057853
110年01月07日 04時08分00秒,臺南市東區東門路2段411號,死亡1;受傷0,普通重型-機車,120.229231,22.981324
110年01月07日 15時44分00秒,彰化縣員林市東北里山腳路6段337號前0.0公尺前,死亡1;受傷0,普通重型-機車;營業用-曳引車,120.591547,23.979805
110年01月08日 04時53分00秒,屏東縣屏東市建國路382-2號前0.0公尺附近,死亡1;受傷0,行人-人;自用-小客車,120.467524,22.658249
110年01月08日 10時45分00秒,新北市泰山區新北市泰山區民權街31號與民權街,死亡1;受傷0,營業用-小貨車(含客、貨兩用);行人-人,121.428966,25.050740
110年01月08日 13時03分00秒,彰化縣大村鄉村上村中正東路153-1號前0.0公尺西側,死亡1;受傷0,普通重型-機車;自用-小客車,120.568079,23.989428
110年01月08日 15時29分00秒,臺南市仁德區太子里太子路與土庫路口,死亡1;受傷1,自用-小客車;大型重型2(250-550C.C.)-機車,120.257223,22.991556
110年01月08日 16時19分00秒,高雄市林園區中門路333號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.366022,22.508725
110年01月08日 17時38分00秒,高雄市梓官區公館路石潭橋號前0.0公尺,死亡1;受傷0,普通重型-機車;農耕用車(或機械)-其他車,120.273947,22.771166
110年01月08日 17時56分56秒,屏東縣萬丹鄉水仙村大仁路199巷與大仁路(往西10公尺處),死亡1;受傷0,普通重型-機車;自用-大貨車,120.486166,22.549821
110年01月09日 04時53分00秒,臺南市中西區民生路2段西側 / 臺南市中西區康樂街南側,死亡1;受傷0,計程車-小客車;普通重型-機車,120.195274,22.995693
110年01月09日 12時14分22秒,臺南市東山區聖賢里區道南314線北勢寮91之2號前0.0公尺西側,死亡1;受傷0,自用-小客車,120.361292,23.309723
110年01月09日 14時29分00秒,彰化縣彰化市下廍里自強路352號前0.0公尺前,死亡1;受傷1,自用-小客車;普通重型-機車;普通重型-機車;自用-小客車;自用-小客車;自用-小客車,120.547814,24.091097
110年01月09日 15時45分00秒,臺南市新營區嘉芳里新運五路(近新運二路口),死亡1;受傷0,普通重型-機車,120.281829,23.310689
110年01月10日 03時15分05秒,苗栗縣銅鑼鄉國道1號 138公里700.0公尺處北側向外側,死亡1;受傷0,營業用-大貨車;自用-小客車;自用-小客車,120.782498,24.483412
110年01月10日 06時00分00秒,彰化縣社頭鄉橋頭村員集路3段263號前0.0公尺前,死亡1;受傷0,自用-小客車;行人-人,120.581711,23.912492
110年01月10日 10時05分00秒,彰化縣和美鎮月眉里和港路307號前0.0公尺,死亡1;受傷0,大型重型1(550C.C.以上)-機車,120.490688,24.127287
110年01月10日 11時13分00秒,臺中市大甲區德化里東西五路一段 / 臺中市大甲區德化里南北三路,死亡1;受傷0,自用-小客車;電動自行車-慢車,120.626766,24.374901
110年01月10日 18時21分00秒,臺中市大里區西湖里草堤路229號前0.0公尺,死亡1;受傷0,自用-小客車,120.672991,24.081261
110年01月10日 20時39分00秒,彰化縣福興鄉外中村番花路1段前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車,120.480364,24.017853
110年01月11日 02時44分00秒,苗栗縣南庄鄉苗124乙線4.3公里處,死亡1;受傷0,自用-小客車;行人-人,120.999098,24.634867
110年01月11日 06時14分00秒,臺中市北屯區平和里文心路四段123號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小客車;自用-小客車,120.675193,24.173921
110年01月11日 12時40分36秒,宜蘭縣三星鄉台7甲線 6公里100.0公尺處東側向內側,死亡1;受傷2,自用-小貨車(含客、貨兩用);營業用-大貨車;乘客-人,121.507641,24.592609
110年01月11日 15時40分00秒,高雄市田寮區西德路 / 高雄市田寮區西德路,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小客車,120.385789,22.880606
110年01月11日 18時57分00秒,高雄市大社區和平路1段118號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車,120.301520,22.627160
110年01月12日 08時45分00秒,臺東縣卑南鄉明峰村牧場60號,死亡1;受傷0,普通重型-機車,121.112814,22.867121
110年01月12日 16時41分53秒,花蓮縣鳳林鎮花東公路口 / 花蓮縣鳳林鎮長橋路口,死亡1;受傷0,腳踏自行車-慢車;自用-小客車;乘客-人,121.419328,23.707251
110年01月12日 18時05分00秒,屏東縣恆春鎮恆春鎮恆東路與恆南路4巷路口,死亡1;受傷0,普通重型-機車;民營客運-大客車,120.750790,22.004285
110年01月12日 19時58分00秒,臺中市西屯區上安里上安路86號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,120.640339,24.170972
110年01月12日 22時35分48秒,臺中市神岡區國道1號 168公里600.0公尺處北側向減速車道,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人,120.689807,24.244319
110年01月12日 22時37分12秒,臺南市歸仁區八甲里文化街一段口 / 臺南市歸仁區八甲里大仁街,死亡1;受傷0,自用-小客車,120.300670,22.971547
110年01月13日 05時35分00秒,臺北市萬華區東園街 / 臺北市萬華區東園街,死亡1;受傷1,普通重型-機車;行人-人,121.497925,25.022701
110年01月13日 09時43分00秒,臺中市大肚區頂街里自由路 / 臺中市大肚區頂街里華山路,死亡1;受傷0,普通重型-機車;自用-小客車,120.547745,24.155704
110年01月13日 11時00分00秒,雲林縣西螺鎮河南里社口路埔心17號電桿處,死亡1;受傷0,普通重型-機車;自用-小客車,120.442779,23.792713
110年01月13日 11時13分37秒,新竹縣芎林鄉富林路口 / 新竹縣芎林鄉竹林路口,死亡1;受傷0,自用-大貨車;普通重型-機車,121.096835,24.750009
110年01月13日 16時01分00秒,高雄市鳥松區中正路 / 高雄市鳥松區大同路,死亡1;受傷1,營業用-曳引車;普通重型-機車;乘客-人,120.371218,22.653973
110年01月13日 17時07分00秒,高雄市湖內區中山路2段154號前0.0公尺前,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,120.228300,22.907570
110年01月14日 05時06分15秒,臺南市下營區後街里中正北路北側 / 臺南市下營區後街里人和二街西側,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車;自用-小客車,120.261664,23.237488
110年01月14日 06時06分00秒,桃園市楊梅區高上里高上路1段67之1號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.162883,24.937458
110年01月14日 07時34分00秒,臺中市大甲區龍泉里中山路二段930-1號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.641973,24.401343
110年01月14日 08時20分00秒,臺中市大肚區王田里沙田路1段108號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;營業用-半聯結車,120.576768,24.118855
110年01月14日 09時59分00秒,臺東縣卑南鄉和平路東側 / 臺東縣卑南鄉和平路北側,死亡1;受傷0,普通重型-機車;自用-大貨車,121.091829,22.787285
110年01月14日 15時05分46秒,花蓮縣秀林鄉和平村和平路83之1號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,121.747784,24.308947
110年01月14日 16時39分10秒,新竹縣尖石鄉嘉樂村3鄰嘉樂路179-6號前0.0公尺附近,死亡1;受傷0,自用-小客車;營業用-大貨車,121.211806,24.705057
110年01月14日 16時43分00秒,臺中市東區近東英六街,死亡1;受傷0,普通重型-機車,120.710303,24.139932
110年01月14日 17時55分00秒,臺南市善化區南關里三民路口 / 臺南市善化區南關里永安路口,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,120.287805,23.129519
110年01月14日 19時45分00秒,新北市板橋區新北市板橋區堤外機車專用道路與堤外機車專用道路(浮洲橫移門),死亡1;受傷2,普通重型-機車;行人-人;乘客-人,121.469820,25.036062
110年01月15日 04時05分00秒,臺南市歸仁區中正北路2段124號南側,死亡1;受傷0,普通重型-機車,120.293608,22.981622
110年01月15日 06時50分00秒,彰化縣伸港鄉溪底村濱海路 / 彰化縣伸港鄉溪底村工五路,死亡1;受傷0,普通重型-機車;自用-大貨車,120.514398,24.167575
110年01月15日 07時37分00秒,新北市中和區新北市中和區中正路64巷,死亡1;受傷0,普通重型-機車;民營公車-大客車,121.501224,24.993962
110年01月15日 08時40分00秒,新北市三峽區新北市三峽區介壽路3段115號,死亡1;受傷0,自用-小客車,121.399058,24.942261
110年01月15日 13時56分00秒,雲林縣褒忠鄉田洋村田洋80電桿前,死亡1;受傷0,普通重型-機車,120.309368,23.721012
110年01月15日 19時12分00秒,桃園市中壢區中山東路3段106號前0.0公尺附近,死亡1;受傷0,行人-人;營業用-大貨車,121.248138,24.944359
110年01月15日 20時15分00秒,新竹縣竹東鎮中興路一段270號前,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,121.069543,24.756867
110年01月15日 23時30分00秒,桃園市中壢區培英路口 / 桃園市中壢區育英路口,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,121.224837,24.973751
110年01月16日 07時32分00秒,臺中市龍井區龍泉里沙田路5段315巷前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車,120.543621,24.202581
110年01月16日 08時53分27秒,桃園市大園區中山南路2段379號前0.0公尺,死亡1;受傷0,普通重型-機車,121.213342,25.026811
110年01月16日 10時30分48秒,雲林縣北港鎮樹腳里大同路(路燈編號112625前),死亡1;受傷0,普通重型-機車,120.276445,23.579726
110年01月16日 10時47分00秒,高雄市岡山區介壽西路前 / 高雄市岡山區通校路,死亡1;受傷0,營業用-大貨車;腳踏自行車-慢車,120.281357,22.784276
110年01月16日 13時48分00秒,桃園市新屋區聚賢路205號前0.0公尺,死亡1;受傷0,普通重型-機車,121.029669,24.994300
110年01月16日 14時06分00秒,宜蘭縣礁溪鄉玉龍路二段87號前,死亡1;受傷1,自用-小客車;租賃車-小客車,121.787872,24.802050
110年01月16日 16時23分00秒,高雄市岡山區嘉峰路 / 高雄市岡山區嘉峰路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.311936,22.827783
110年01月16日 23時23分00秒,新北市五股區新北市五股區中興路3段192號旁,死亡1;受傷0,普通重型-機車,121.443922,25.082755
110年01月17日 02時34分00秒,新北市板橋區新北市板橋區環河西路4段000720號燈桿,死亡1;受傷0,普通重型-機車,121.485541,25.022253
110年01月17日 06時23分00秒,高雄市鼓山區九如四路 / 高雄市鼓山區內惟路,死亡1;受傷0,普通輕型-機車;自用-小客車,120.283627,22.667691
110年01月17日 08時07分00秒,臺南市中西區健康路1段10號,死亡1;受傷0,自用-小客車;普通重型-機車,120.211739,22.981246
110年01月17日 10時44分25秒,新竹市香山區延平路二段45巷口,死亡1;受傷0,普通重型-機車;普通重型-機車;自用-小客車,120.942658,24.805041
110年01月17日 20時40分34秒,桃園市中壢區中觀路二段(井厝幹28之30電桿)旁,死亡1;受傷0,普通重型-機車,121.163246,24.981192
110年01月18日 16時11分00秒,臺南市安定區安加里區道南132線口 / 臺南市安定區安加里市道178線口,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車,120.235299,23.115109
110年01月18日 20時44分00秒,屏東縣崁頂鄉平和南路與龍港路口,死亡1;受傷0,普通重型-機車;自用-小客車,120.474956,22.501589
110年01月19日 14時50分29秒,桃園市大園區聖德北路538號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車,121.194297,25.039071
110年01月20日 05時47分00秒,新北市新莊區新北市新莊區福慧路與新知六路,死亡1;受傷0,營業用-小貨車(含客、貨兩用);大型重型2(250-550C.C.)-機車,121.458355,25.062229
110年01月20日 07時35分35秒,苗栗縣西湖鄉119線8.5公里處,死亡1;受傷1,自用-小客車;行人-人,120.750040,24.545616
110年01月20日 10時00分03秒,臺南市龍崎區182線往東22.7K附近,死亡1;受傷1,普通重型-機車;乘客-人,120.383248,22.948791
110年01月20日 10時20分00秒,宜蘭縣員山鄉八甲路12-1號前0.0公尺,死亡1;受傷0,普通輕型-機車,121.706298,24.723773
110年01月20日 11時08分00秒,桃園市新屋區東明路110號旁產業道路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.083728,24.975719
110年01月20日 15時00分13秒,臺東縣達仁鄉台9戊線10.8K北上路肩,死亡1;受傷0,營業用-半聯結車,120.841546,22.252594
110年01月20日 16時03分00秒,臺南市佳里區鎮山里佳南路口 / 臺南市佳里區鎮山里勝利路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.180075,23.148626
110年01月20日 16時21分00秒,澎湖縣馬公市縣202線 4公里200.0公尺處北側向外側,死亡1;受傷0,普通重型-機車,119.631988,23.583061
110年01月20日 18時02分09秒,雲林縣口湖鄉湖口村台17線道路北上107公里附近,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.173944,23.552485
110年01月20日 18時55分00秒,屏東縣鹽埔鄉新埔路839號前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;自用-小貨車(含客、貨兩用),120.564391,22.753349
110年01月21日 00時25分57秒,宜蘭縣宜蘭市東港橋上宜市路燈桿6265號前,死亡1;受傷0,普通重型-機車,121.758758,24.758010
110年01月21日 06時26分00秒,桃園市桃園區三民路2段口 / 桃園市桃園區民生路,死亡1;受傷0,營業用-曳引車;普通重型-機車,121.310445,24.999649
110年01月21日 12時50分24秒,宜蘭縣三星鄉上將路七段與雙和一路口,死亡1;受傷3,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人,121.644155,24.677092
110年01月21日 17時52分00秒,臺中市西區中興里公益路 / 臺中市西區中興里美村路,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車,120.661669,24.150855
110年01月21日 18時20分00秒,臺東縣東河鄉台11線 126公里400.0公尺處附近,死亡1;受傷4,自用-小客車;民營公車-大客車;乘客-人;乘客-人;乘客-人;乘客-人,121.344379,23.059007
110年01月21日 20時05分00秒,彰化縣大村鄉黃厝村美港路415號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.582267,23.984253
110年01月21日 20時18分00秒,雲林縣四湖鄉林厝村文化路20巷,死亡1;受傷0,普通重型-機車,120.193566,23.637083
110年01月21日 20時55分00秒,桃園市楊梅區中山北路1段16號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,121.149606,24.907525
110年01月21日 23時56分00秒,臺東縣大武鄉台9線 408公里700.0公尺處北側向外側,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.938144,22.440477
110年01月22日 00時54分23秒,臺南市仁德區後壁里中正路二段附近 / 臺南市仁德區後壁里德洋路附近,死亡1;受傷1,普通重型-機車;行人-人,120.251436,22.950224
110年01月22日 04時51分00秒,基隆市安樂區安樂路二段145號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,121.724197,25.121314
