發生時間,發生地點,死亡受傷人數,車種,經度,緯度
110年03月06日 06時40分00秒,嘉義縣民雄鄉文隆村山腳1之78號前,死亡1;受傷1,自用-小客車;自用-小客車;行人-人,120.432671,23.533657
110年03月06日 10時10分32秒,雲林縣虎尾鎮虎興東二路與永興南七路口,死亡1;受傷0,營業用-大貨車;自用-小客車,120.420029,23.726251
110年03月06日 11時22分00秒,花蓮縣新城鄉台8線 187公里500.0公尺處西側向路肩,死亡1;受傷0,大型重型2(250-550C.C.)-機車,121.636724,24.136321
110年03月06日 13時39分00秒,澎湖縣西嶼鄉澎3號道與縣道203線岔路口(竹灣段),死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人;乘客-人,119.513771,23.616312
110年03月07日 02時58分00秒,澎湖縣馬公市西文里縣道204道路口 / 澎湖縣馬公市西文里新店路口,死亡1;受傷0,自用-小客車;普通重型-機車;乘客-人,119.587309,23.564898
110年03月07日 20時49分23秒,花蓮縣新城鄉台9線 180.5公里附近向機、慢車道,死亡1;受傷2,普通重型-機車;電動自行車-慢車;乘客-人,121.605842,24.055256
110年03月08日 10時02分00秒,彰化縣彰化市國聖里國聖路 / 彰化縣彰化市國聖里國聖路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.546078,24.057431
110年03月09日 00時50分00秒,臺中市霧峰區乾溪東路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.693021,24.058598
110年03月09日 08時25分00秒,臺中市霧峰區中正里四德路 / 臺中市霧峰區中正里林森路,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車,120.695931,24.065745
110年03月09日 11時46分43秒,雲林縣二崙鄉大義村路燈130處路口,死亡1;受傷0,電動自行車-慢車;自用-小客車;乘客-人,120.385316,23.792957
110年03月09日 15時31分00秒,屏東縣長治鄉下寮巷(溪埔寮幹33R號前),死亡1;受傷0,普通重型-機車,120.540815,22.675335
110年03月09日 16時53分00秒,臺南市後壁區竹新里新厝26號前南78-線上(仕安高幹2號),死亡1;受傷0,普通重型-機車,120.308472,23.340629
110年03月09日 23時07分00秒,高雄市仁武區水管路竹後0044路燈號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.328873,22.706374
110年03月10日 10時30分10秒,臺南市東山區縣165線 16公里600.0公尺處南側向內側,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.406976,23.328906
110年03月10日 13時55分17秒,臺南市關廟區國道3號 357公里北側向交流道,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人,120.333961,22.971824
110年03月10日 16時41分00秒,新北市新莊區新北市新莊區重新堤外道路808241燈桿前往三重,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.453971,25.033547
110年03月10日 19時23分10秒,屏東縣里港鄉三和路102之4號前,死亡2;受傷0,自用-小客車;行人-人;行人-人;乘客-人,120.503502,22.810391
110年03月10日 23時41分00秒,屏東縣萬丹鄉萬丹路2段285號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,120.487016,22.607177
110年03月11日 06時35分00秒,臺南市西港區台19線 126公里500.0公尺處北側向四岔路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.196822,23.137139
110年03月11日 10時35分00秒,臺北市文山區羅斯福路4段 / 臺北市文山區基隆路4段,死亡1;受傷0,自用-小客車;行人-人,121.537085,25.010750
110年03月11日 17時24分00秒,南投縣鹿谷鄉投100  10.25公里處,死亡1;受傷0,自用-小貨車(含客、貨兩用);營業用-曳引車;營業用-曳引車,120.770637,23.810669
110年03月11日 20時50分00秒,臺中市清水區中社里港埠路三段 / 臺中市清水區中社里中社路,死亡1;受傷1,營業用-大貨車;自用-小客車,120.547085,24.275491
110年03月12日 01時32分00秒,臺中市中區綠川里建國路 / 臺中市中區綠川里民族路,死亡1;受傷0,普通重型-機車,120.683316,24.136360
110年03月12日 11時35分40秒,雲林縣西螺鎮公館里156縣道20K往東50公尺處,死亡1;受傷0,自用-小貨車(含客、貨兩用);拼裝車-其他車,120.442383,23.747926
110年03月12日 12時40分13秒,新竹縣湖口鄉達生路口 / 新竹縣湖口鄉中正七街口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.043324,24.896586
110年03月12日 20時19分00秒,高雄市大社區中山路711號前0.0公尺前,死亡1;受傷2,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,120.366026,22.730079
110年03月13日 02時16分49秒,屏東縣鹽埔鄉民治路126之1號前,死亡1;受傷0,普通重型-機車,120.580293,22.726795
110年03月13日 02時50分48秒,桃園市楊梅區楊湖路1段94號前200.0公尺,死亡1;受傷0,自用-小客車,121.139371,24.909292
110年03月13日 04時43分57秒,臺南市龍崎區崎頂里新市子104號,死亡1;受傷0,普通重型-機車,120.364167,22.964307
110年03月13日 12時20分00秒,桃園市新屋區社子里興福路346巷53弄168號前0.0公尺附近,死亡1;受傷0,普通重型-機車,121.081527,24.964233
110年03月13日 14時20分39秒,桃園市龜山區長峰路36號前10.0公尺,死亡1;受傷0,腳踏自行車-慢車,121.341571,25.001575
110年03月13日 23時06分00秒,臺南市下營區宅內里中正北路口 / 臺南市下營區中正北路口,死亡1;受傷0,自用-小客車,120.258018,23.244882
110年03月14日 02時05分00秒,嘉義縣中埔鄉和美村忠義路與和美路口,死亡1;受傷1,普通重型-機車;自用-小客車,120.471521,23.458430
110年03月15日 02時15分00秒,臺東縣東河鄉台11線 147公里700.0公尺處北側向路肩,死亡1;受傷5,自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人,121.206248,22.864122
110年03月15日 04時33分00秒,彰化縣大村鄉平和村山腳路142-13號前0.0公尺前,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車,120.578713,23.998580
110年03月15日 09時13分00秒,高雄市楠梓區村左楠路4號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.302392,22.709029
110年03月15日 11時45分00秒,臺中市清水區中山路 / 臺中市清水區文化路,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車,120.573685,24.264311
110年03月15日 12時00分00秒,臺中市大里區夏田里環河路一段408號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車,120.670578,24.083935
110年03月15日 14時19分19秒,南投縣埔里鎮中山路四段106號旁,死亡1;受傷0,拼裝車-其他車;行人-人,120.932747,23.967181
110年03月15日 15時21分17秒,雲林縣北港鎮草湖里台19線公路與產業道路口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.307118,23.610451
110年03月15日 20時49分00秒,臺中市北屯區三光里太原路三段 / 臺中市北屯區三光里九龍街,死亡1;受傷1,電動輔助自行車-慢車;普通重型-機車,120.695365,24.164937
110年03月16日 06時58分59秒,新竹縣新埔鎮文山里文山路口 / 新竹縣新埔鎮文山里陽明街口,死亡1;受傷1,普通重型-機車;行人-人,121.034552,24.830958
110年03月16日 09時34分00秒,臺北市文山區興隆路3段 / 臺北市文山區萬芳路,死亡1;受傷0,民營客運-大客車;行人-人,121.560044,24.996802
110年03月16日 10時55分00秒,臺南市東山區聖賢里區道南314線附近 / 臺南市東山區聖賢里區道南102線附近,死亡1;受傷0,普通重型-機車,120.357309,23.309714
110年03月16日 11時13分00秒,高雄市岡山區鵬程路 / 高雄市岡山區鵬程西街,死亡1;受傷0,自用-小客車;普通重型-機車,120.296055,22.789302
110年03月16日 16時19分50秒,宜蘭縣蘇澳鎮台9線 114公里700.0公尺處北側,死亡6;受傷39,遊覽車-大客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人,121.832546,24.507860
110年03月16日 17時35分00秒,高雄市美濃區清水街 / 高雄市美濃區八德街,死亡1;受傷0,自用-小客車;普通重型-機車,120.527500,22.860750
110年03月16日 17時37分15秒,臺南市麻豆區井東里安業113號前路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.247074,23.160886
110年03月16日 19時06分07秒,宜蘭縣三星鄉尚貴路一段219號 往東80公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.708792,24.693859
110年03月17日 05時28分00秒,屏東縣長治鄉中興路與光華巷口前,死亡1;受傷0,營業用-小貨車(含客、貨兩用);行人-人,120.533334,22.690554
110年03月17日 08時21分00秒,彰化縣福興鄉大崙村大崙街13-23號前20.0公尺北側,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車,120.475589,24.039576
110年03月17日 09時49分00秒,臺中市烏日區光明里五光路復光三巷157號前0.0公尺,死亡1;受傷0,動力機械-其他車;普通重型-機車;營業用-大貨車,120.640818,24.100371
110年03月17日 11時34分00秒,雲林縣虎尾鎮墾地里學府二路與科園路口,死亡1;受傷1,普通重型-機車;自用-小客車,120.413202,23.741815
110年03月17日 18時27分27秒,苗栗縣獅潭鄉台3線 110公里800.0公尺處北側向內側,死亡1;受傷0,自用-小客車;行人-人,120.931642,24.562266
110年03月17日 19時26分00秒,彰化縣埔心鄉舊舘村中正路2段155號前0.0公尺前,死亡1;受傷0,電動自行車-慢車;自用-小貨車(含客、貨兩用);乘客-人,120.523755,23.949288
110年03月17日 20時38分28秒,雲林縣口湖鄉台子村台興路,死亡1;受傷0,普通重型-機車,120.143870,23.565887
110年03月18日 03時57分00秒,臺中市南區崇倫里三民西路 / 臺中市南區崇倫里東興路,死亡1;受傷2,自用-小客車;營業用-小貨車(含客、貨兩用);乘客-人,120.653263,24.128829
110年03月18日 11時19分00秒,新北市新店區新北市新店區安業街與安利街旁,死亡1;受傷1,普通重型-機車;普通重型-機車,121.521187,24.974137
110年03月18日 11時56分00秒,嘉義縣水上鄉粗溪村台1線274公里100公尺處北向車道,死亡2;受傷2,自用-小客車;自用-小客車;自用-小客車;普通重型-機車;普通重型-機車;乘客-人;乘客-人,120.399771,23.435194
110年03月18日 21時11分00秒,新北市新莊區新北市新莊區新北大道7段與壽山路,死亡1;受傷1,大型重型1(550C.C.以上)-機車;自用-小客車,121.412075,25.028492
110年03月19日 07時32分00秒,苗栗縣苗栗市文發路、文發路255巷口,死亡1;受傷0,自用-小客車;行人-人,120.811976,24.573749
110年03月19日 08時33分00秒,高雄市大樹區興田路興田0205燈桿號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.301520,22.627160
110年03月19日 12時30分00秒,嘉義縣番路鄉草山村台三線313公里500公尺處,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.613456,23.379417
110年03月19日 15時03分00秒,新北市樹林區新北市樹林區柑園街2段175巷與佳園路3段68巷,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,121.380898,24.951979
110年03月19日 16時42分00秒,宜蘭縣蘇澳鎮中山路2段口 / 宜蘭縣蘇澳鎮中山路2段口,死亡1;受傷0,大型重型2(250-550C.C.)-機車,121.834269,24.603032
110年03月19日 16時46分00秒,高雄市大社區光華路 / 高雄市大社區保舍甲路,死亡1;受傷0,普通重型-機車;普通重型-機車,120.347548,22.746606
110年03月20日 05時40分12秒,苗栗縣後龍鎮台6線 500.0公尺處西側,死亡1;受傷0,行人-人;自用-小客車;乘客-人,120.780618,24.601395
110年03月20日 11時14分00秒,臺中市北區育德里中清路 / 臺中市北區育德里育德路,死亡1;受傷0,自用-小客車;普通重型-機車,120.676246,24.157489
110年03月20日 11時42分00秒,桃園市新屋區下埔里文化路三段南下車道50.8K附近(永安所;Q110030367),死亡1;受傷0,電動自行車-慢車;自用-小客車,121.047216,25.010155
110年03月20日 14時03分00秒,臺中市梧棲區北上153K處,死亡3;受傷0,營業用-大貨車;自用-小客車;乘客-人;乘客-人,120.538758,24.255833
110年03月20日 14時48分22秒,桃園市八德區長興路350-5號前0.0公尺,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車,121.276621,24.931638
110年03月20日 23時46分08秒,臺南市安南區台江大道二段(近工明五路口),死亡1;受傷0,自用-小客車,120.203844,23.058390
110年03月21日 03時55分00秒,高雄市仁武區高楠公路62號前0.0公尺,死亡1;受傷0,普通重型-機車,120.323793,22.701434
110年03月21日 06時05分00秒,嘉義縣中埔鄉金蘭村金蘭24-3號,死亡1;受傷0,自用-小貨車(含客、貨兩用);電動自行車-慢車,120.506848,23.444068
110年03月21日 16時50分01秒,屏東縣新園鄉興安路5號前,死亡1;受傷0,普通重型-機車,120.463904,22.512014
110年03月21日 21時32分00秒,新北市五股區新北市五股區新五路2段與蓬萊路,死亡1;受傷0,遊覽車-大客車;普通重型-機車,121.438610,25.078531
110年03月23日 06時50分00秒,臺北市信義區松山路 / 臺北市信義區福德街,死亡1;受傷0,民營公車-大客車;行人-人,121.578536,25.036229
110年03月23日 15時02分32秒,苗栗縣卓蘭鎮中正路145號前0.0公尺,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車,120.828424,24.312061
110年03月23日 16時50分12秒,臺南市安南區長和路1段1巷(台電大豐高幹108-1電桿)前,死亡1;受傷0,普通重型-機車;自用-大貨車,120.238379,23.052107
110年03月23日 17時39分14秒,嘉義縣太保市新埤里台18線與嘉49線路口,死亡1;受傷0,自用-大貨車;自用-小客車,120.334605,23.475235
110年03月23日 22時42分00秒,臺北市大同區鄭州路 / 臺北市大同區西寧北路,死亡1;受傷0,自用-小客車;普通重型-機車,121.508202,25.050605
110年03月23日 23時07分00秒,新竹縣湖口鄉新興路560之2號前0.0公尺附近,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用),121.005827,24.878083
110年03月24日 18時00分00秒,高雄市大寮區鳳林一路 / 高雄市大寮區無名路,死亡1;受傷0,營業用-半聯結車;普通重型-機車,120.401191,22.584481
110年03月25日 04時00分00秒,高雄市三民區國道1號 364公里800.0公尺處南側向外側,死亡1;受傷1,自用-小客車;自用-小客車,120.333205,22.656458
110年03月25日 05時38分00秒,臺中市霧峰區四德里四德北路63號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車,120.664852,24.064608
110年03月25日 16時40分00秒,彰化縣溪湖鎮番婆里彰水路2段463號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);其他人-人,120.480675,23.945903
110年03月25日 19時39分00秒,雲林縣虎尾鎮惠來里145乙與產業道路口,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.495705,23.730013
110年03月26日 06時00分00秒,新北市鶯歌區新北市鶯歌區福德一路1號旁,死亡1;受傷0,自用-曳引車;普通重型-機車,121.326089,24.935055
110年03月26日 07時38分00秒,高雄市岡山區介壽西路 / 高雄市岡山區頂潭路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.275737,22.784280
110年03月26日 08時39分36秒,屏東縣萬丹鄉萬生村大學路103號前0.0公尺,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.517402,22.597528
110年03月26日 20時55分00秒,臺南市左鎮區榮和里菜寮97號旁產業道路口,死亡1;受傷0,普通重型-機車,120.399183,23.061385
110年03月26日 21時50分00秒,苗栗縣公館鄉五谷村五谷128-5號前水溝,死亡1;受傷0,普通重型-機車,120.816108,24.523414
110年03月26日 22時50分13秒,臺南市安定區港南里國道8號側車道港口1-26號前0.0公尺,死亡1;受傷0,自用-小客車;乘客-人,120.225706,23.085733
110年03月26日 23時48分00秒,高雄市大寮區興隆路 / 高雄市大寮區東隆街,死亡1;受傷0,自用-小客車;普通重型-機車,120.412430,22.607671
110年03月27日 02時33分00秒,臺南市永康區中正北路與龍橋街口,死亡1;受傷0,普通重型-機車;自用-小客車,120.261836,23.045786
110年03月27日 07時30分00秒,高雄市美濃區復興街1段411巷中壇238電桿號前0.0公尺,死亡1;受傷0,普通重型-機車,120.548881,22.872118
110年03月27日 11時18分00秒,臺中市南區南和里工學路40號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);人力車-慢車;自用-小客車,120.666078,24.117029
110年03月27日 16時18分24秒,嘉義縣大林鎮排路里162線與早知路路口,死亡1;受傷1,自用-大貨車;普通重型-機車;乘客-人,120.429706,23.613579
110年03月27日 16時55分00秒,彰化縣埤頭鄉豊崙村彰水路4段 / 彰化縣埤頭鄉豊崙村彰水路4段,死亡1;受傷0,普通重型-機車;自用-小客車,120.474515,23.921561
110年03月27日 20時52分00秒,高雄市大寮區鳳林三路373巷7之5號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,120.396500,22.601710
110年03月28日 09時21分41秒,桃園市大溪區國道3號 58公里300.0公尺處北側向輔助,死亡1;受傷2,自用-小客車;營業用-半聯結車;營業用-半聯結車;乘客-人,121.261727,24.886544
110年03月28日 11時25分00秒,嘉義縣中埔鄉石硦村台三線309公里400公尺處,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.583205,23.373379
110年03月28日 18時20分00秒,臺南市安南區安明路2段路燈117號前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,120.159562,23.038870
110年03月29日 05時08分00秒,彰化縣伸港鄉大同村中興路2段88號前0.0公尺前,死亡1;受傷0,自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車,120.485895,24.158920
110年03月29日 10時55分00秒,臺中市新社區電桿成功幹163旁,死亡1;受傷0,大型重型2(250-550C.C.)-機車,120.888245,24.097551
110年03月29日 16時17分00秒,桃園市桃園區龍壽街125號前0.0公尺附近,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車;自用-小客車,121.268315,24.981672
110年03月29日 18時32分00秒,南投縣南投市中正路194號,死亡1;受傷0,自用-小客車;其他人-人,120.691121,23.948843
110年03月29日 21時02分00秒,臺中市神岡區圳前里中山路1720巷60號前0.0公尺,死亡1;受傷0,普通重型-機車;行人-人,120.652993,24.264298
110年03月30日 09時30分00秒,嘉義縣民雄鄉福興村牛稠溪1739號旁路口,死亡1;受傷0,普通重型-機車,120.420861,23.515962
110年03月30日 11時08分00秒,屏東縣新園鄉港墘村港墘路2之398號號前0.0公尺附近,死亡1;受傷0,普通重型-機車,120.465870,22.534542
110年03月31日 07時45分00秒,高雄市鳥松區文前路鳥松0047號前0.0公尺,死亡1;受傷0,普通重型-機車,120.348819,22.667292
110年03月31日 10時55分00秒,臺中市南屯區楓樹里環中路五段 / 臺中市南屯區楓樹里永春東三路,死亡1;受傷0,自用-大貨車;普通重型-機車,120.631041,24.149175
110年03月31日 12時09分00秒,高雄市左營區軍校路82號前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小客車;普通重型-機車,120.292626,22.689906
110年04月01日 10時50分11秒,花蓮縣壽豐鄉中山路3段92號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人;普通重型-機車;自用-小客車,121.530914,23.909678
110年04月01日 22時53分00秒,花蓮縣玉里鎮台30線 20公里500.0公尺處,死亡1;受傷1,普通重型-機車;乘客-人,121.337744,23.290706
110年04月02日 22時18分43秒,新竹縣寶山鄉新湖路三段溪峰高幹164,死亡1;受傷1,普通重型-機車;乘客-人,121.004430,24.718997
110年04月03日 16時20分00秒,嘉義縣大埔鄉西興村台三線351公里500公尺處,死亡1;受傷0,普通重型-機車;普通重型-機車;自用-小客車;營業用-曳引車,120.598792,23.301073
110年04月04日 09時11分23秒,花蓮縣秀林鄉台8線 160.8公里附近,死亡1;受傷0,腳踏自行車-慢車,121.487902,24.198777
110年04月04日 13時04分35秒,新竹縣新埔鎮文山路亞東段127號附近(電桿:遠東高幹7E0693GA97),死亡1;受傷1,自用-小客車;乘客-人,121.061854,24.824496
110年04月04日 21時00分00秒,桃園市大園區國道2號 4公里400.0公尺處東側向路肩,死亡1;受傷0,自用-小客車,121.213828,25.056851
110年04月05日 03時23分00秒,南投縣信義鄉投97 7公里700.0公尺處,死亡1;受傷0,普通重型-機車,120.940588,23.830053
資料提供日期：110年04月12日,,,,,
事故類別：A1類,,,,,
